word,adjacent,speaker,variety,age,gender,duration,repetition,point,F0,token,semitone.norm,cat
an,null.son,HKE_040,HKE,20,M,0.207055632,3,3,134.2356732,HKE_040-an-3,-0.816190023,function
an,null.son,HKE_039,HKE,23,F,0.26113533,2,7,161.2067887,HKE_039-an-2,-1.31393754,function
an,null.son,HKE_023,HKE,30,M,0.227550751,1,7,110.8578384,HKE_023-an-1,-0.873130001,function
an,null.son,HKE_031,HKE,36,F,0.285206844,2,7,204.1200577,HKE_031-an-2,-0.266677645,function
an,null.son,HKE_003,HKE,21,M,0.296132764,3,1,153.6683014,HKE_003-an-3,-0.660437119,function
an,null.son,AME_001,AE,23,M,0.358007181,3,7,142.8014164,AE_001-an-3,-0.6699953,function
an,null.son,AME_001,AE,23,M,0.337851531,1,4,195.1745173,AE_001-an-1,1.394188867,function
an,null.son,HKE_026,HKE,43,F,0.36930717,1,6,154.123213,HKE_026-an-1,-1.843424587,function
an,null.son,HKE_023,HKE,30,M,0.255181243,3,7,105.7920701,HKE_023-an-3,-1.225261565,function
an,null.son,AME_015,AE,19,M,0.172082597,2,7,88.08369066,AE_015-an-2,-2.034122019,function
an,null.son,HKE_026,HKE,43,F,0.294208367,3,6,162.5402952,HKE_026-an-3,-1.479319117,function
an,null.son,HKE_045,HKE,48,F,0.25,3,4,165.4912243,HKE_045-an-3,-1.335133868,function
an,null.son,HKE_047,HKE,20,F,0.349860128,2,2,190.1219598,HKE_047-an-2,-1.688462374,function
an,null.son,AME_026,AE,19,M,0.343324607,2,2,112.5117884,AE_026-an-2,-0.970285718,function
an,null.son,HKE_032,HKE,32,F,0.346289237,1,7,233.007077,HKE_032-an-1,-0.135097713,function
an,null.son,HKE_047,HKE,20,F,0.322985136,3,2,202.8884439,HKE_047-an-3,-0.425388935,function
an,null.son,AME_016,AE,20,F,0.358238988,2,3,175.5929973,AE_016-an-2,-0.043526323,function
an,null.son,HKE_009,HKE,25,M,0.243994901,3,9,127.2631486,HKE_009-an-3,-0.376254459,function
an,null.son,HKE_026,HKE,43,F,0.330861002,2,6,157.8147511,HKE_026-an-2,-1.681347829,function
an,null.son,HKE_032,HKE,32,F,0.3073205,2,7,218.3203183,HKE_032-an-2,-0.900776986,function
an,null.son,AME_027,AE,21,F,0.194015705,3,3,186.4378242,AE_027-an-3,0.900475755,function
an,null.son,HKE_026,HKE,43,F,0.294208367,3,4,171.2266899,HKE_026-an-3,-1.122822344,function
an,null.son,HKE_039,HKE,23,F,0.26113533,2,1,169.0376225,HKE_039-an-2,-1.013428263,function
an,null.son,AME_015,AE,19,M,0.176439271,3,5,86.78736072,AE_015-an-3,-2.156651788,function
an,null.son,AME_031,AE,18,M,0.231996527,1,5,127.9223877,AE_031-an-1,-0.76541563,function
an,null.son,HKE_043,HKE,50,M,0.08,2,4,95.10510125,HKE_043-an-2,-0.962755962,function
an,null.son,HKE_006,HKE,19,F,0.354345514,1,8,231.354971,HKE_006-an-1,-0.598295006,function
an,null.son,AME_019,AE,18,M,0.271191787,2,7,101.6705838,AE_019-an-2,-1.962025686,function
an,null.son,AME_019,AE,18,M,0.248258223,1,7,110.7773039,AE_019-an-1,-1.288956228,function
an,null.son,AME_015,AE,19,M,0.172082597,2,5,89.99649598,AE_015-an-2,-1.856577243,function
an,null.son,AME_025,AE,20,F,0.264323924,2,7,170.5896583,AE_025-an-2,-0.899035184,function
an,null.son,AME_032,AE,23,M,0.243873867,1,4,116.8939333,AE_032-an-1,0.195597583,function
an,null.son,AME_001,AE,23,M,0.358007181,3,4,153.5260238,AE_001-an-3,-0.191572078,function
an,null.son,HKE_036,HKE,40,F,0.156248212,3,7,124.0893558,HKE_036-an-3,-1.774011489,function
an,null.son,HKE_035,HKE,33,M,0.319177846,2,5,90.07243723,HKE_035-an-2,-1.342754512,function
an,null.son,AME_010,AE,27,M,0.14,3,5,89.88679205,AE_010-an-3,-0.941013496,function
an,null.son,AME_033,AE,18,M,0.24,1,2,92.55815373,AE_033-an-1,-1.971246611,function
an,null.son,AME_017,AE,20,M,0.340750309,3,7,107.8854269,AE_017-an-3,-0.050257818,function
an,null.son,AME_027,AE,21,F,0.150029012,1,1,182.2255256,AE_027-an-1,0.54872007,function
an,null.son,AME_017,AE,20,M,0.30237954,1,7,112.8287435,AE_017-an-1,0.386429553,function
an,null.son,HKE_031,HKE,36,F,0.311749897,3,8,231.5064601,HKE_031-an-3,0.743398353,function
an,null.son,HKE_003,HKE,21,M,0.270603788,1,1,163.0259401,HKE_003-an-1,0.235012231,function
an,null.son,AME_032,AE,23,M,0.281964591,3,6,113.9882839,AE_032-an-3,-0.210338001,function
an,null.son,AME_032,AE,23,M,0.243873867,1,7,116.6687161,AE_032-an-1,0.164496195,function
an,null.son,AME_020,AE,30,M,0.2587642,2,4,129.1323552,AE_020-an-2,-0.769120101,function
an,null.son,AME_011,AE,18,F,0.4647062,1,6,247.4231831,AE_011-an-1,0.917289454,function
an,null.son,HKE_036,HKE,40,F,0.156248212,3,5,134.4908626,HKE_036-an-3,-1.079544426,function
an,null.son,HKE_044,HKE,45,F,0.317933633,3,1,162.3607663,HKE_044-an-3,-1.856429319,function
an,null.son,AME_001,AE,23,M,0.337851531,1,7,180.2710916,AE_001-an-1,0.869405175,function
an,null.son,AME_025,AE,20,F,0.413072177,3,5,163.5599924,AE_025-an-3,-1.572504759,function
an,null.son,HKE_026,HKE,43,F,0.36930717,1,4,171.7570047,HKE_026-an-1,-1.101647414,function
an,null.son,HKE_039,HKE,23,F,0.228966215,3,7,154.7646161,HKE_039-an-3,-1.572311475,function
an,null.son,HKE_023,HKE,30,M,0.243957428,2,7,117.18627239999999,HKE_023-an-2,-0.455176574,function
an,null.son,AME_011,AE,18,F,0.528951296,2,1,240.7427993,AE_011-an-2,0.646627088,function
an,null.son,HKE_039,HKE,23,F,0.228966215,3,5,166.1102337,HKE_039-an-3,-1.12410566,function
an,null.son,AME_025,AE,20,F,0.290054714,1,5,166.8517248,AE_025-an-1,-1.253612718,function
an,null.son,HKE_032,HKE,32,F,0.346289237,1,9,227.3236575,HKE_032-an-1,-0.425514067,function
an,null.son,HKE_023,HKE,30,M,0.243957428,2,5,118.7709425,HKE_023-an-2,-0.354053303,function
an,null.son,HKE_047,HKE,20,F,0.322985136,3,5,192.1657078,HKE_047-an-3,-1.480660377,function
an,null.son,AME_026,AE,19,M,0.343324607,2,9,130.0841569,AE_026-an-2,0.19984682,function
an,null.son,HKE_031,HKE,36,F,0.277770452,1,4,205.6717203,HKE_031-an-1,-0.205920635,function
an,null.son,HKE_036,HKE,40,F,0.14136743,2,3,146.5181574,HKE_036-an-2,-0.340570043,function
an,null.son,HKE_036,HKE,40,F,0.156248212,3,3,130.5903214,HKE_036-an-3,-1.333462489,function
an,null.son,HKE_012,HKE,24,M,0.184429627,1,4,100.2239895,HKE_012-an-1,0.145423276,function
an,null.son,HKE_012,HKE,24,M,0.184429627,1,3,102.5024541,HKE_012-an-1,0.341361405,function
an,null.son,AME_009,AE,21,F,0.306056502,3,6,205.6792684,AE_009-an-3,-1.082287386,function
an,null.son,AME_019,AE,18,M,0.248258223,1,6,118.2674744,AE_019-an-1,-0.775610095,function
an,null.son,AME_023,AE,20,F,0.390254703,1,3,202.1094764,AE_023-an-1,-0.254909243,function
an,null.son,AME_027,AE,21,F,0.150029012,1,3,179.1394995,AE_027-an-1,0.285816149,function
an,null.son,AME_016,AE,20,F,0.358238988,2,6,176.2220738,AE_016-an-2,0.023577206,function
an,null.son,HKE_016,HKE,26,F,0.188249359,3,3,155.9156946,HKE_016-an-3,-0.723172452,function
an,null.son,AME_010,AE,27,M,0.14,3,1,85.55969906,AE_010-an-3,-1.508561616,function
an,null.son,AME_013,AE,21,M,0.343473998,3,3,120.2693987,AE_013-an-3,-1.202744839,function
an,null.son,HKE_048,HKE,43,M,0.26371085,1,5,158.8026123,HKE_048-an-1,0.740906955,function
an,null.son,AME_012,AE,20,F,0.277414204,1,5,200.4065347,AE_012-an-1,0.050058963,function
an,null.son,AME_027,AE,21,F,0.150029012,1,6,178.5062612,AE_027-an-1,0.23130973,function
an,null.son,AME_008,AE,30,M,0.212305477,3,6,103.9925332,AE_008-an-3,-0.708881886,function
an,null.son,AME_001,AE,23,M,0.328058719,2,1,166.1895939,AE_001-an-2,0.332067624,function
an,null.son,AME_031,AE,18,M,0.230627227,2,5,124.6151138,AE_031-an-2,-0.954855709,function
an,null.son,HKE_047,HKE,20,F,0.322985136,3,4,214.6919979,HKE_047-an-3,0.673608963,function
an,null.son,HKE_036,HKE,40,F,0.193936897,1,3,150.8117449,HKE_036-an-1,-0.091381424,function
an,null.son,HKE_018,HKE,19,F,0.203088514,1,4,205.4963156,HKE_018-an-1,0.159461773,function
an,null.son,AME_011,AE,18,F,0.518556083,3,5,238.6540569,AE_011-an-3,0.560456449,function
an,null.son,AME_008,AE,30,M,0.212305477,3,4,104.3627724,AE_008-an-3,-0.667045869,function
an,null.son,AME_017,AE,20,M,0.358442654,2,4,114.1759732,AE_017-an-2,0.502126441,function
an,null.son,HKE_013,HKE,26,F,0.248525236,3,3,191.375691,HKE_013-an-3,-1.166205445,function
an,null.son,AME_032,AE,23,M,0.243873867,1,6,116.5657033,AE_032-an-1,0.150250615,function
an,null.son,AME_012,AE,20,F,0.219461005,2,5,183.6758055,AE_012-an-2,-0.924430904,function
an,null.son,HKE_028,HKE,36,F,0.253472052,3,4,151.7000809,HKE_028-an-3,-1.356423482,function
an,null.son,HKE_018,HKE,19,F,0.24187492,2,4,199.9837683,HKE_018-an-2,-0.210907016,function
an,null.son,HKE_040,HKE,20,M,0.227908634,1,3,137.8451044,HKE_040-an-1,-0.573984034,function
an,null.son,HKE_002,HKE,18,M,0.230328628,3,8,100.3571,HKE_002-an-3,-0.944687326,function
an,null.son,HKE_006,HKE,19,F,0.354345514,1,4,237.5921213,HKE_006-an-1,-0.261027344,function
an,null.son,HKE_023,HKE,30,M,0.227550751,1,6,109.4059951,HKE_023-an-1,-0.972378014,function
an,null.son,HKE_026,HKE,43,F,0.294208367,3,7,154.4350085,HKE_026-an-3,-1.829585924,function
an,null.son,AME_001,AE,23,M,0.337851531,1,1,179.6053821,AE_001-an-1,0.844962722,function
an,null.son,HKE_039,HKE,23,F,0.228966215,3,4,170.5091698,HKE_039-an-3,-0.958514494,function
an,null.son,AME_015,AE,19,M,0.164384728,1,7,95.2739648,AE_015-an-1,-1.385629166,function
an,null.son,AME_030,AE,18,M,0.321325459,1,3,125.6663396,AE_030-an-1,-0.309672624,function
an,null.son,HKE_039,HKE,23,F,0.26113533,2,5,156.8791235,HKE_039-an-2,-1.486338612,function
an,null.son,HKE_006,HKE,19,F,0.318319339,2,8,232.1983252,HKE_006-an-2,-0.552163511,function
an,null.son,AME_004,AE,22,F,0.228541523,1,2,210.8385114,AE_004-an-1,-0.461240986,function
an,null.son,HKE_026,HKE,43,F,0.294208367,3,8,145.6865066,HKE_026-an-3,-2.228905824,function
an,null.son,HKE_047,HKE,20,F,0.349860128,2,4,189.8203386,HKE_047-an-2,-1.719319311,function
an,null.son,HKE_038,HKE,35,F,0.22003899,2,7,181.4103431,HKE_038-an-2,-0.966919745,function
an,null.son,AME_016,AE,20,F,0.352465043,3,3,183.5895593,AE_016-an-3,0.792106993,function
an,null.son,HKE_048,HKE,43,M,0.252589283,3,5,118.9091178,HKE_048-an-3,-1.302293869,function
an,null.son,HKE_023,HKE,30,M,0.255181243,3,4,111.2772778,HKE_023-an-3,-0.844699046,function
an,null.son,HKE_034,HKE,46,M,0.28840847,3,6,98.51756285,HKE_034-an-3,-1.775298389,function
an,null.son,HKE_039,HKE,23,F,0.26113533,2,3,165.1554338,HKE_039-an-2,-1.160626529,function
an,null.son,HKE_006,HKE,19,F,0.294729069,3,1,236.3995664,HKE_006-an-3,-0.324823617,function
an,null.son,AME_001,AE,23,M,0.358007181,3,3,156.3873988,AE_001-an-3,-0.069572109,function
an,null.son,AME_023,AE,20,F,0.426044769,2,5,203.1458381,AE_023-an-2,-0.132299575,function
an,null.son,HKE_031,HKE,36,F,0.311749897,3,7,221.8311292,HKE_031-an-3,0.400890684,function
an,null.son,HKE_036,HKE,40,F,0.14136743,2,7,136.3458842,HKE_036-an-2,-0.961358857,function
an,null.son,AME_001,AE,23,M,0.337851531,1,8,170.6018248,AE_001-an-1,0.505182766,function
an,null.son,AME_018,AE,20,F,0.28374082,3,4,174.5267711,AE_018-an-3,-1.112424382,function
an,null.son,HKE_040,HKE,20,M,0.207055632,3,5,131.0630988,HKE_040-an-3,-1.03452121,function
an,null.son,HKE_004,HKE,26,M,0.315420324,3,1,116.9985577,HKE_004-an-3,-0.853984929,function
an,null.son,AME_001,AE,23,M,0.328058719,2,7,156.6506536,AE_001-an-2,-0.058460107,function
an,null.son,AME_015,AE,19,M,0.176439271,3,7,85.56933333,AE_015-an-3,-2.273459672,function
an,null.son,AME_007,AE,19,F,0.40724253,2,9,209.7442626,AE_007-an-2,1.185265601,function
an,null.son,HKE_023,HKE,30,M,0.243957428,2,6,111.7483311,HKE_023-an-2,-0.812897004,function
an,null.son,AME_007,AE,19,F,0.429388633,3,1,162.4282729,AE_007-an-3,-2.059797493,function
an,null.son,HKE_047,HKE,20,F,0.337044738,1,2,199.268232,HKE_047-an-1,-0.775301031,function
an,null.son,AME_005,AE,19,F,0.354820315,1,1,176.840372,AE_005-an-1,-0.483768181,function
an,null.son,HKE_003,HKE,21,M,0.296132764,3,5,154.3931768,HKE_003-an-3,-0.589149315,function
an,null.son,AME_026,AE,19,M,0.343111162,3,4,117.2435574,AE_026-an-3,-0.63812648,function
an,null.son,AME_027,AE,21,F,0.194015705,3,6,182.2813265,AE_027-an-3,0.553432759,function
an,null.son,HKE_010,HKE,38,F,0.254690309,3,6,134.296027,HKE_010-an-3,-1.882071785,function
an,null.son,AME_002,AE,24,F,0.144228833,2,5,178.9680712,AE_002-an-2,-0.664512851,function
an,null.son,HKE_048,HKE,43,M,0.242446727,2,5,143.7991561,HKE_048-an-2,0.039992599,function
an,null.son,AME_032,AE,23,M,0.215065826,2,6,113.8644399,AE_032-an-2,-0.227868822,function
an,null.son,AME_001,AE,23,M,0.328058719,2,3,162.3148396,AE_001-an-2,0.176207125,function
an,null.son,AME_008,AE,30,M,0.212305477,3,1,92.73905346,AE_008-an-3,-2.057096968,function
an,null.son,HKE_029,HKE,36,F,0.395056219,2,3,163.7296178,HKE_029-an-2,-0.603605579,function
an,null.son,AME_023,AE,20,F,0.419318229,3,4,200.9812753,AE_023-an-3,-0.389101021,function
an,null.son,HKE_002,HKE,18,M,0.242472142,1,8,123.93883,HKE_002-an-1,0.560459198,function
an,null.son,HKE_030,HKE,58,F,0.280190933,2,1,172.27483,HKE_030-an-2,0.892058289,function
an,null.son,AME_017,AE,20,M,0.358442654,2,7,111.37841,AE_017-an-2,0.260323987,function
an,null.son,AME_007,AE,19,F,0.40724253,2,4,175.6793138,AE_007-an-2,-1.06434461,function
an,null.son,AME_017,AE,20,M,0.340750309,3,4,112.7659344,AE_017-an-3,0.381002011,function
an,null.son,AME_024,AE,20,F,0.353523168,3,6,173.0796515,AE_024-an-3,-2.161779122,function
an,null.son,AME_005,AE,19,F,0.354820315,1,5,174.7044285,AE_005-an-1,-0.620965896,function
an,null.son,AME_027,AE,21,F,0.195144481,2,6,185.299221,AE_027-an-2,0.806184599,function
an,null.son,AME_031,AE,18,M,0.231996527,1,3,130.0581697,AE_031-an-1,-0.645663673,function
an,null.son,AME_031,AE,18,M,0.231996527,1,8,122.566314,AE_031-an-1,-1.074749414,function
an,null.son,AME_012,AE,20,F,0.219461005,2,7,179.8064055,AE_012-an-2,-1.162437372,function
an,null.son,HKE_023,HKE,30,M,0.255181243,3,9,104.4140992,HKE_023-an-3,-1.323966707,function
an,null.son,HKE_032,HKE,32,F,0.298100885,3,8,209.0520356,HKE_032-an-3,-1.410953201,function
an,null.son,AME_004,AE,22,F,0.204102285,3,9,168.1250383,AE_004-an-3,-2.319340999,function
an,null.son,AME_023,AE,20,F,0.419318229,3,5,196.9738934,AE_023-an-3,-0.8719178,function
an,null.son,HKE_040,HKE,20,M,0.234862234,2,2,126.4997471,HKE_040-an-2,-1.358014048,function
an,null.son,AME_004,AE,22,F,0.205554094,2,9,238.9430624,AE_004-an-2,0.565813616,function
an,null.son,HKE_023,HKE,30,M,0.255181243,3,6,107.7496847,HKE_023-an-3,-1.087224559,function
an,null.son,HKE_006,HKE,19,F,0.354345514,1,1,252.1813868,HKE_006-an-1,0.494505533,function
an,null.son,HKE_003,HKE,21,M,0.295687113,2,1,154.0982203,HKE_003-an-2,-0.618116313,function
an,null.son,AME_005,AE,19,F,0.474588345,3,5,175.2275635,AE_005-an-3,-0.587208969,function
an,null.son,AME_017,AE,20,M,0.30237954,1,4,121.0737575,AE_017-an-1,1.073887764,function
an,null.son,HKE_035,HKE,33,M,0.28349383,1,5,106.0075236,HKE_035-an-1,-0.452362076,function
an,null.son,AME_001,AE,23,M,0.337851531,1,3,192.8493015,AE_001-an-1,1.315007488,function
an,null.son,HKE_030,HKE,58,F,0.280190933,2,2,171.2621128,HKE_030-an-2,0.830361889,function
an,null.son,HKE_004,HKE,26,M,0.315420324,3,7,124.3726474,HKE_004-an-3,-0.541871728,function
an,null.son,HKE_003,HKE,21,M,0.270603788,1,7,157.0543111,HKE_003-an-1,-0.330279737,function
an,null.son,AME_032,AE,23,M,0.243873867,1,3,118.3157005,AE_032-an-1,0.390564134,function
an,null.son,HKE_024,HKE,28,F,0.305946132,3,5,163.9803026,HKE_024-an-3,-1.422016659,function
an,null.son,HKE_023,HKE,30,M,0.227550751,1,9,109.6006131,HKE_023-an-1,-0.958997746,function
an,null.son,AME_020,AE,30,M,0.278155584,3,4,123.9689587,AE_020-an-3,-1.163529465,function
an,null.son,HKE_003,HKE,21,M,0.295687113,2,5,159.1593745,HKE_003-an-2,-0.128592037,function
an,null.son,AME_016,AE,20,F,0.358238988,2,2,184.0227483,AE_016-an-2,0.83632952,function
an,null.son,HKE_036,HKE,40,F,0.14136743,2,5,141.0258294,HKE_036-an-2,-0.670195914,function
an,null.son,AME_024,AE,20,F,0.325816108,2,6,185.2174512,AE_024-an-2,-1.449079395,function
an,null.son,HKE_038,HKE,35,F,0.22003899,2,4,184.1260531,HKE_038-an-2,-0.810469416,function
an,null.son,HKE_015,HKE,30,F,0.248543899,3,7,202.4441522,HKE_015-an-3,-1.197267432,function
an,null.son,AME_010,AE,27,M,0.17108601,2,1,106.6059495,AE_010-an-2,1.021363008,function
an,null.son,HKE_028,HKE,36,F,0.263244271,1,2,166.2308555,HKE_028-an-1,-0.704037137,function
an,null.son,HKE_038,HKE,35,F,0.259642275,1,7,175.3129197,HKE_038-an-1,-1.326895242,function
an,null.son,HKE_016,HKE,26,F,0.188249359,3,1,158.0590249,HKE_016-an-3,-0.619555093,function
an,null.son,HKE_029,HKE,36,F,0.496944369,1,4,172.1358359,HKE_029-an-1,-0.178409888,function
an,null.son,AME_008,AE,30,M,0.204260742,2,4,106.069183,AE_008-an-2,-0.476124969,function
an,null.son,AME_016,AE,20,F,0.352465043,3,4,178.7635732,AE_016-an-3,0.292261665,function
an,null.son,HKE_024,HKE,28,F,0.277847326,1,6,197.7841031,HKE_024-an-1,0.488092407,function
an,null.son,AME_005,AE,19,F,0.474588345,3,6,184.5540229,AE_005-an-3,-0.001734946,function
an,null.son,AME_031,AE,18,M,0.207696414,3,4,123.7980522,AE_031-an-3,-1.002431339,function
an,null.son,HKE_027,HKE,33,M,0.201822886,1,3,89.61119364,HKE_027-an-1,0.054239171,function
an,null.son,HKE_036,HKE,40,F,0.156248212,3,9,127.3476838,HKE_036-an-3,-1.550393803,function
an,null.son,HKE_006,HKE,19,F,0.354345514,1,6,233.0461844,HKE_006-an-1,-0.505954178,function
an,null.son,HKE_031,HKE,36,F,0.311749897,3,4,192.0260343,HKE_031-an-3,-0.756694091,function
an,null.son,HKE_003,HKE,21,M,0.295687113,2,2,164.9401236,HKE_003-an-2,0.411839016,function
an,null.son,HKE_015,HKE,30,F,0.244674398,1,4,244.93684,HKE_015-an-1,-0.182547062,function
an,null.son,AME_007,AE,19,F,0.40724253,2,7,186.8924215,AE_007-an-2,-0.278975731,function
an,null.son,HKE_002,HKE,18,M,0.242472142,1,9,117.3142559,HKE_002-an-1,0.168707511,function
an,null.son,AME_025,AE,20,F,0.413072177,3,6,161.025449,AE_025-an-3,-1.822447054,function
an,null.son,AME_023,AE,20,F,0.419318229,3,7,193.5527413,AE_023-an-3,-1.291941626,function
an,null.son,HKE_006,HKE,19,F,0.318319339,2,1,232.9161377,HKE_006-an-2,-0.513030951,function
an,null.son,AME_007,AE,19,F,0.429388633,3,3,168.3413134,AE_007-an-3,-1.605924154,function
an,null.son,HKE_046,HKE,57,F,0.273092213,2,7,173.8690717,HKE_046-an-2,0.123751015,function
an,null.son,AME_002,AE,24,F,0.119021166,3,5,173.1731591,AE_002-an-3,-1.205557417,function
an,null.son,HKE_015,HKE,30,F,0.248543899,3,4,213.9747217,HKE_015-an-3,-0.902262025,function
an,null.son,AME_017,AE,20,M,0.30237954,1,6,120.4733714,AE_017-an-1,1.025432668,function
an,null.son,HKE_003,HKE,21,M,0.270603788,1,4,157.7940578,HKE_003-an-1,-0.259097633,function
an,null.son,AME_013,AE,21,M,0.363250934,1,6,148.40752,AE_013-an-1,0.104443406,function
an,null.son,AME_007,AE,19,F,0.466334634,1,3,183.5760279,AE_007-an-1,-0.506239166,function
an,null.son,AME_001,AE,23,M,0.358007181,3,1,169.7219746,AE_001-an-3,0.47102178,function
an,null.son,AME_017,AE,20,M,0.340750309,3,6,112.7100431,AE_017-an-3,0.376169715,function
an,null.son,HKE_034,HKE,46,M,0.294467785,2,8,112.5754986,HKE_034-an-2,-0.824042447,function
an,null.son,AME_031,AE,18,M,0.207696414,3,8,120.1101308,AE_031-an-3,-1.221152667,function
an,null.son,AME_001,AE,23,M,0.328058719,2,8,151.6741228,AE_001-an-2,-0.271749366,function
an,null.son,AME_002,AE,24,F,0.1474792,1,3,180.5873939,AE_002-an-1,-0.516454031,function
an,null.son,AME_011,AE,18,F,0.4647062,1,5,234.4713809,AE_011-an-1,0.385610288,function
an,null.son,HKE_012,HKE,24,M,0.164787882,2,7,79.36988583,HKE_012-an-2,-1.88802072,function
an,null.son,HKE_002,HKE,18,M,0.230328628,3,7,102.8175021,HKE_002-an-3,-0.771954651,function
an,null.son,AME_002,AE,24,F,0.119021166,3,7,170.5940555,AE_002-an-3,-1.452204703,function
an,null.son,HKE_010,HKE,38,F,0.260986025,2,6,147.374049,HKE_010-an-2,-0.939215357,function
an,null.son,AME_032,AE,23,M,0.281964591,3,4,113.0201603,AE_032-an-3,-0.347891892,function
an,null.son,AME_011,AE,18,F,0.518556083,3,1,230.7579241,AE_011-an-3,0.227744727,function
an,null.son,HKE_039,HKE,23,F,0.257085419,1,3,177.5220521,HKE_039-an-1,-0.703161431,function
an,null.son,HKE_023,HKE,30,M,0.243957428,2,2,123.1445859,HKE_023-an-2,-0.081804534,function
an,null.son,HKE_043,HKE,50,M,0.07,3,4,91.62545923,HKE_043-an-3,-1.254498905,function
an,null.son,AME_011,AE,18,F,0.528951296,2,3,234.9024553,AE_011-an-2,0.40377382,function
an,null.son,AME_003,AE,22,M,0.396003774,3,3,121.6862246,AE_003-an-3,1.226950988,function
an,null.son,AME_026,AE,19,M,0.39985541,1,2,90.68921225,AE_026-an-1,-2.708827899,function
an,null.son,HKE_012,HKE,24,M,0.161815949,3,1,107.1678762,HKE_012-an-3,0.729328093,function
an,null.son,AME_006,AE,19,F,0.258495953,2,2,281.3121737,AE_006-an-2,0.794284161,function
an,null.son,HKE_039,HKE,23,F,0.257085419,1,7,189.0349934,HKE_039-an-1,-0.305062029,function
an,null.son,HKE_023,HKE,30,M,0.227550751,1,8,109.9810407,HKE_023-an-1,-0.932911272,function
an,null.son,AME_024,AE,20,F,0.312629728,1,8,181.7119413,AE_024-an-1,-1.650000527,function
an,null.son,AME_028,AE,23,F,0.16513739,3,4,172.8267994,AE_028-an-3,-2.792261678,function
an,null.son,HKE_034,HKE,46,M,0.294467785,2,7,107.5587825,HKE_034-an-2,-1.1491399,function
an,null.son,HKE_023,HKE,30,M,0.243957428,2,8,115.4537123,HKE_023-an-2,-0.56731409,function
an,null.son,HKE_026,HKE,43,F,0.36930717,1,5,164.4290919,HKE_026-an-1,-1.400206767,function
an,null.son,HKE_044,HKE,45,F,0.317933633,3,8,170.2114991,HKE_044-an-3,-1.273772675,function
an,null.son,AME_003,AE,22,M,0.385670773,1,9,132.1341793,AE_003-an-1,2.549292257,function
an,null.son,HKE_044,HKE,45,F,0.382296749,2,8,171.9334028,HKE_044-an-2,-1.149575909,function
an,null.son,HKE_006,HKE,19,F,0.318319339,2,5,229.319424,HKE_006-an-2,-0.710335917,function
an,null.son,HKE_032,HKE,32,F,0.346289237,1,2,236.421518,HKE_032-an-1,0.035989282,function
an,null.son,AME_023,AE,20,F,0.390254703,1,5,201.1022219,AE_023-an-1,-0.374679254,function
